,ticker,sector,current_ratio,debt_ratio,debt_to_equity,ebitda_growth,ebitda_margin,gross_margin,ni_growth,ni_margin,op_growth,op_margin,rev_growth,roa,roe,log_rtn
0,OCGN,Healthcare,,,,,,,,,,,,,,3.3637307913030394
1,MARA,Financial Services,0.6233257858418929,0.4489889821119819,0.7358269213300183,-0.44992922486226006,-2.28986852307617,-2.339133347451585,-0.7255364387540069,-2.967418899501952,-0.458662828286059,-3.1988260476685055,-0.2413925748797342,-0.5953826617175939,-1.3408755713722829,2.7635783032757315
2,GME,Consumer Cyclical,2.024039247751431,0.7831329574068163,,-0.6314065059677042,0.02435818125579957,0.29519022579647386,-0.30029717682020807,-0.07282709557686359,-0.8087363494539781,0.009480358799876276,-0.2195816687386093,-0.13720862470862472,-0.4835446937413359,2.7336974725024072
3,AMC,Communication Services,1.5921594465491682,0.9112154316383685,3.9148410476033604,-0.16149214968716796,0.12983001279473588,0.16790349113507586,-2.354223433242507,-0.02725278742460245,-0.24151309408341415,0.042880643392432825,0.0018678581892763724,-0.012869201954116246,-0.11417413278198943,2.628713526648093
4,SAVA,Healthcare,,,,,,,,,,,,,,2.5485121590691193
5,BNGO,Healthcare,7.2963692795065915,0.8803716224111958,,0.2960262407667438,-2.4430659416034817,0.3318385256223698,0.6119397772279047,-2.9433877736213843,0.26744052253517436,-2.554408960435196,-0.15592603286382045,-1.0839816196559746,-4.3364003191315525,2.534668112107401
6,RIOT,Technology,,,,,,0.9265759836185461,,-2.9309638730437326,,-1.3722392862366535,,,,2.4483125079708308
7,SM,Energy,,,,,,0.7293023487724727,,-0.12268450634183657,,-0.04646896853060831,,,,2.409238439621606
8,MVIS,Technology,-3.6349006789036964,1.3360087867522812,,-0.022023481207154694,-2.7934953860004503,0.03623677695250956,-0.028146788990825677,-2.980306099482332,-0.027479794268919888,-2.9790681971640782,-0.49531436360538417,-1.5189996845335398,-378.3285714285714,2.218197665699555
9,BTU,Energy,0.3731348993802127,0.5915357339365409,0.49567679240951873,-0.3245655985971625,0.1832850283341264,0.23506510360340874,-1.3266347194311332,-0.04570229701085781,-0.9970109598140153,0.00038932387420513044,-0.17170088501916947,-0.030258117638635305,-0.0703231603820681,2.1920432646793597
10,SENS,Healthcare,-14.65001734304544,1.0651275216301082,-13.36420395421436,0.48509873092958267,-6.087085113374959,-0.9130087789305666,0.2296240329463346,-5.424581005586592,0.49195003311333907,-6.134078212290503,0.12626235922381435,-0.7893392172802229,-3.690953810771098,2.16483186654623
11,ORMP,Healthcare,,,,,,0.9667036625971143,,-5.310765815760266,,-5.412874583795783,,,,2.120579710294728
12,GLSI,Healthcare,,,,,,,,,,,,,,2.045133264808042
13,CDEV,Energy,,,,,,0.7013649889339532,,0.01672932131775968,,0.08336598434869166,,,,2.0191948812699168
14,ALTM,Energy,,,,,,0.58866846345307,,-2.7222050398385838,,0.10992798126629258,,,,1.973294064813568
15,MRNA,Healthcare,,,,,,-7.243103190552907,,-8.537278479961467,,-9.063761231709545,,,,1.9713724396968866
16,NTLA,Healthcare,,,,,,-1.5152077581606849,,-2.3091896155720018,,-2.4677632647379535,,,,1.944297642039462
17,ASXC,Healthcare,0.23450076528315478,0.2573449765308442,,0.4075829383886256,-8.425038096354472,-0.5626538506622905,1.496090778121307,-18.075372172078303,0.31066045066045067,-9.88641425389755,-0.6460459712886897,-0.9819030456626529,-1.3764505302245866,1.9054187794905704
18,CRIS,Healthcare,-0.19288726371973697,1.9659327199703762,,-0.16891891891891897,-2.4221311475409837,-1.2795881647341063,-0.013323100537221744,-3.21281487405038,-0.16967238264071183,-2.434626149540184,-0.04065976217874956,-0.8869908378408213,1.673705314135444,1.837093002202298
19,FTSI,Energy,,,,,,0.2545712078289982,,-0.09387071851661087,,-0.051377800669585375,,,,1.8358587332204614
